order_id,customer_id,customer_name,prod_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
29,161,Correy Massey,5,Laptop,Computer,Pay-Pal,2,1000,1/2/2021 0:41,Colombia,Bogotá,BuyOurStuff.com,29,Y,
30,677,Vevay Conley,9,Cell Phone,Mobile Device,Pay-Pal,2,950,1/2/2021 0:43,Argentina,Buenos Aires,BuyOurStuff.com,30,Y,
31,560,Pierette Reese,7,Desk,Home & Office,Crypto,2,150,1/2/2021 0:43,United States,New York,BuyOurStuff.com,31,Y,
32,29,Alyssa Bell,9,Cell Phone,Mobile Device,Pay-Pal,3,950,1/2/2021 0:45,Japan,Tokyo,BuyOurStuff.com,32,Y,
33,140,Christian Willis,3,Keyboard,Accessories,Crypto,3,100,1/3/2021 0:46,Spain,Madrid,BuyOurStuff.com,33,Y,
34,377,Katharina Roberts,1,Headphones,Accessories,Pay-Pal,2,150,1/3/2021 0:46,Peru,Lima,BuyOurStuff.com,34,Y,
35,191,Devina Weiss,4,Desktop,Computer,Credit,2,750,1/3/2021 0:50,Argentina,Buenos Aires,BuyOurStuff.com,35,Y,
36,416,Leona Norman,4,Desktop,Computer,Crypto,1,750,1/3/2021 0:52,Brazil,Rio de Janeiro,BuyOurStuff.com,36,Y,
37,184,Deedee Pitts,5,Laptop,Computer,Crypto,3,1000,1/3/2021 0:55,France,Paris,BuyOurStuff.com,37,Y,
38,148,Claudina Mullins,8,Tablet,Mobile Device,Crypto,2,450,1/3/2021 0:56,Japan,Tokyo,BuyOurStuff.com,38,Y,
39,583,Robinia Moreno,6,Chair,Home & Office,Credit,1,80,1/3/2021 0:56,Argentina,Buenos Aires,BuyOurStuff.com,39,Y,
40,358,Juan Ware,2,Mouse,Accessories,Debit,2,75,1/3/2021 0:57,Thailand,Bangkok,BuyOurStuff.com,40,N,Insufficient funds
41,257,Flo Cobb,5,Laptop,Computer,Pay-Pal,2,1000,1/3/2021 0:57,United Kingdom,London,BuyOurStuff.com,41,Y,
42,168,Dacia Becker,8,Tablet,Mobile Device,Crypto,1,450,1/3/2021 0:58,South Korea,Seoul,BuyOurStuff.com,42,Y,
43,249,Farrah Vasquez,4,Desktop,Computer,Pay-Pal,3,750,1/3/2021 0:58,South Korea,Seoul,BuyOurStuff.com,43,N,Insufficient funds
44,442,Lucille Romero,5,Laptop,Computer,Debit,3,1000,1/3/2021 1:00,France,Paris,BuyOurStuff.com,44,Y,
45,651,Tersina Acevedo,8,Tablet,Mobile Device,Credit,3,450,1/3/2021 1:03,Thailand,Bangkok,BuyOurStuff.com,45,Y,
46,515,Myriam Hansen,4,Desktop,Computer,Credit,3,750,1/3/2021 1:04,South Korea,Seoul,BuyOurStuff.com,46,Y,
47,107,Candy Li,3,Keyboard,Accessories,Credit,2,100,1/4/2021 1:07,Germany,Berlin,BuyOurStuff.com,47,Y,
48,299,Harmonia Anthony,7,Desk,Home & Office,Credit,3,150,1/4/2021 1:08,Argentina,Buenos Aires,BuyOurStuff.com,48,Y,
49,55,Arlina Lewis,6,Chair,Home & Office,Credit,3,80,1/4/2021 1:09,Mexico,Mexico City,BuyOurStuff.com,49,Y,
50,583,Robinia Moreno,7,Desk,Home & Office,Credit,3,150,1/4/2021 1:10,Argentina,Buenos Aires,BuyOurStuff.com,50,Y,
51,108,Caressa Scott,3,Keyboard,Accessories,Crypto,1,100,1/4/2021 1:12,France,Paris,BuyOurStuff.com,51,Y,
52,35,Andeee Mueller,9,Cell Phone,Mobile Device,Credit,2,950,1/4/2021 1:15,Colombia,Bogotá,BuyOurStuff.com,52,Y,
53,322,Jacenta Ramos,3,Keyboard,Accessories,Debit,3,100,1/4/2021 1:16,United States,New York,BuyOurStuff.com,53,Y,
54,627,Sissy Galvan,5,Laptop,Computer,Credit,1,1000,1/4/2021 1:16,United Kingdom,London,BuyOurStuff.com,54,Y,
55,52,Ardys Logan,2,Mouse,Accessories,Crypto,2,75,1/4/2021 1:17,United States,New York,BuyOurStuff.com,55,Y,
56,440,Louella Johnson,7,Desk,Home & Office,Crypto,1,150,1/4/2021 1:20,Spain,Madrid,BuyOurStuff.com,56,N,Insufficient funds
57,221,Elie Cannon,3,Keyboard,Accessories,Pay-Pal,3,100,1/4/2021 1:20,France,Paris,BuyOurStuff.com,57,Y,
58,117,Carree Santiago,8,Tablet,Mobile Device,Pay-Pal,3,450,1/4/2021 1:22,United Kingdom,London,BuyOurStuff.com,58,Y,
59,669,Ursulina Wolf,4,Desktop,Computer,Pay-Pal,3,750,1/4/2021 1:23,Colombia,Bogotá,BuyOurStuff.com,59,Y,
60,683,Viviene Myers,7,Desk,Home & Office,Credit,3,150,1/4/2021 1:24,India,Delhi,BuyOurStuff.com,60,Y,
61,420,Lexine Walton,2,Mouse,Accessories,Crypto,1,75,1/4/2021 1:24,United States,New York,BuyOurStuff.com,61,Y,
62,99,Britte Harvey,7,Desk,Home & Office,Credit,1,150,1/4/2021 1:30,India,Delhi,BuyOurStuff.com,62,Y,
63,591,Roseline Gonzales,2,Mouse,Accessories,Credit,3,75,1/4/2021 1:30,Spain,Madrid,BuyOurStuff.com,63,Y,
64,274,Georgina Wright,3,Keyboard,Accessories,Debit,2,100,1/5/2021 1:31,China,Beijing,BuyOurStuff.com,64,Y,
65,369,Karena Ball,8,Tablet,Mobile Device,Pay-Pal,2,450,1/5/2021 1:32,Mexico,Mexico City,BuyOurStuff.com,65,Y,
66,174,Daphne Lamb,5,Laptop,Computer,Debit,2,1000,1/5/2021 1:34,Japan,Tokyo,BuyOurStuff.com,66,Y,
67,287,Goldie Andrade,4,Desktop,Computer,Credit,3,750,1/5/2021 1:35,Brazil,Rio de Janeiro,BuyOurStuff.com,67,Y,
68,399,Kristina Valenzuela,6,Chair,Home & Office,Credit,3,80,1/5/2021 1:36,Brazil,Rio de Janeiro,BuyOurStuff.com,68,N,Incorrect Payment Information
69,607,Sean Greer,3,Keyboard,Accessories,Credit,1,100,1/5/2021 1:37,Brazil,Rio de Janeiro,BuyOurStuff.com,69,Y,
70,37,Anestassia Lopez,6,Chair,Home & Office,Pay-Pal,3,80,1/5/2021 1:41,United States,New York,BuyOurStuff.com,70,Y,
71,649,Tera Boyd,4,Desktop,Computer,Pay-Pal,2,750,1/5/2021 1:41,United States,New York,BuyOurStuff.com,71,Y,
72,135,Cherilyn Garrett,6,Chair,Home & Office,Credit,3,80,1/5/2021 1:46,South Korea,Seoul,BuyOurStuff.com,72,Y,
73,135,Cherilyn Garrett,1,Headphones,Accessories,Credit,1,150,1/5/2021 1:47,South Korea,Seoul,BuyOurStuff.com,73,N,Insufficient funds
74,490,Melina Frank,5,Laptop,Computer,Debit,3,1000,1/5/2021 1:48,Thailand,Bangkok,BuyOurStuff.com,74,Y,
75,192,Di Khan,6,Chair,Home & Office,Crypto,1,80,1/5/2021 1:48,India,Delhi,BuyOurStuff.com,75,Y,
76,576,Rhea Morton,3,Keyboard,Accessories,Crypto,3,100,1/5/2021 1:49,France,Paris,BuyOurStuff.com,76,Y,
77,512,Morganica Maldonado,5,Laptop,Computer,Crypto,3,1000,1/5/2021 1:49,Brazil,Rio de Janeiro,BuyOurStuff.com,77,Y,
78,327,Jan Underwood,4,Desktop,Computer,Credit,1,750,1/5/2021 1:49,Colombia,Bogotá,BuyOurStuff.com,78,Y,
79,422,Libbie Villanueva,9,Cell Phone,Mobile Device,Debit,2,950,1/5/2021 1:52,Peru,Lima,BuyOurStuff.com,79,Y,
80,569,Raquela Paul,1,Headphones,Accessories,Pay-Pal,2,150,1/6/2021 1:53,Spain,Madrid,BuyOurStuff.com,80,Y,
81,571,Rebeca Evans,5,Laptop,Computer,Credit,3,1000,1/6/2021 1:54,South Korea,Seoul,BuyOurStuff.com,81,Y,
82,210,Dulcinea Delgado,5,Laptop,Computer,Debit,2,1000,1/6/2021 1:56,United Kingdom,London,BuyOurStuff.com,82,Y,
83,633,Stephanie Patton,2,Mouse,Accessories,Pay-Pal,2,75,1/6/2021 1:57,India,Delhi,BuyOurStuff.com,83,Y,
84,603,Sandie Page,5,Laptop,Computer,Credit,1,1000,1/6/2021 1:57,France,Paris,BuyOurStuff.com,84,Y,
85,544,Orelia Lindsey,3,Keyboard,Accessories,Crypto,1,100,1/6/2021 2:00,Germany,Berlin,BuyOurStuff.com,85,Y,
86,26,Almeta Guerra,4,Desktop,Computer,Debit,3,750,1/6/2021 2:00,United Kingdom,London,BuyOurStuff.com,86,Y,
87,163,Courtnay Ross,8,Tablet,Mobile Device,Credit,3,450,1/6/2021 2:02,Brazil,Rio de Janeiro,BuyOurStuff.com,87,Y,
88,257,Flo Cobb,4,Desktop,Computer,Pay-Pal,2,750,1/6/2021 2:02,United Kingdom,London,BuyOurStuff.com,88,Y,
89,487,Meg Wood,7,Desk,Home & Office,Credit,3,150,1/6/2021 2:04,China,Beijing,BuyOurStuff.com,89,Y,
90,530,Nicoli Herrera,6,Chair,Home & Office,Debit,2,80,1/6/2021 2:06,Thailand,Bangkok,BuyOurStuff.com,90,Y,
91,283,Giustina Chambers,4,Desktop,Computer,Credit,2,750,1/6/2021 2:06,Colombia,Bogotá,BuyOurStuff.com,91,N,Incorrect Payment Information
92,72,Bee Oconnor,8,Tablet,Mobile Device,Crypto,1,450,1/6/2021 2:06,Argentina,Buenos Aires,BuyOurStuff.com,92,Y,
93,532,Nita Foley,9,Cell Phone,Mobile Device,Crypto,1,950,1/6/2021 2:08,Japan,Tokyo,BuyOurStuff.com,93,Y,
94,566,Raina Olson,6,Chair,Home & Office,Debit,3,80,1/6/2021 2:08,South Korea,Seoul,BuyOurStuff.com,94,Y,
95,484,Maurene Shepherd,8,Tablet,Mobile Device,Crypto,2,450,1/6/2021 2:09,South Korea,Seoul,BuyOurStuff.com,95,Y,
96,636,Susan Abbott,5,Laptop,Computer,Crypto,1,1000,1/6/2021 2:10,Peru,Lima,BuyOurStuff.com,96,Y,
97,318,Ira Yu,2,Mouse,Accessories,Debit,2,75,1/6/2021 2:11,Colombia,Bogotá,BuyOurStuff.com,97,Y,
98,56,Aryn Carlson,3,Keyboard,Accessories,Crypto,1,100,1/6/2021 2:13,Thailand,Bangkok,BuyOurStuff.com,98,Y,
99,80,Bertine Roth,8,Tablet,Mobile Device,Crypto,1,450,1/6/2021 2:15,Argentina,Buenos Aires,BuyOurStuff.com,99,Y,
100,524,Neila Carson,5,Laptop,Computer,Crypto,1,1000,1/6/2021 2:17,Brazil,Rio de Janeiro,BuyOurStuff.com,100,Y,
101,256,Fina Holland,2,Mouse,Accessories,Crypto,3,75,1/6/2021 2:17,Japan,Tokyo,BuyOurStuff.com,101,Y,
102,184,Deedee Pitts,4,Desktop,Computer,Crypto,3,750,1/7/2021 2:17,France,Paris,BuyOurStuff.com,102,N,Insufficient funds
103,112,Carly Swanson,3,Keyboard,Accessories,Crypto,1,100,1/7/2021 2:19,China,Beijing,BuyOurStuff.com,103,Y,
104,205,Dorothy Sosa,3,Keyboard,Accessories,Pay-Pal,3,100,1/7/2021 2:20,United States,New York,BuyOurStuff.com,104,Y,
105,43,Annecorinne Carpenter,4,Desktop,Computer,Credit,3,750,1/7/2021 2:24,Spain,Madrid,BuyOurStuff.com,105,Y,
106,126,Celene Munoz,1,Headphones,Accessories,Debit,2,150,1/7/2021 2:26,Germany,Berlin,BuyOurStuff.com,106,Y,
107,135,Cherilyn Garrett,8,Tablet,Mobile Device,Credit,2,450,1/7/2021 2:28,South Korea,Seoul,BuyOurStuff.com,107,N,Incorrect Payment Information
108,418,Lesly Hunter,9,Cell Phone,Mobile Device,Debit,2,950,1/7/2021 2:29,United Kingdom,London,BuyOurStuff.com,108,Y,
109,102,Cacilie Stevens,9,Cell Phone,Mobile Device,Debit,1,950,1/7/2021 2:29,Mexico,Mexico City,BuyOurStuff.com,109,Y,
110,121,Catharine Lambert,8,Tablet,Mobile Device,Pay-Pal,1,450,1/7/2021 2:29,India,Delhi,BuyOurStuff.com,110,Y,
111,589,Rosaline Mccormick,2,Mouse,Accessories,Pay-Pal,2,75,1/7/2021 2:29,India,Delhi,BuyOurStuff.com,111,Y,
112,610,Shaine Barker,2,Mouse,Accessories,Debit,3,75,1/7/2021 2:30,Mexico,Mexico City,BuyOurStuff.com,112,Y,
113,252,Felice Welch,9,Cell Phone,Mobile Device,Crypto,3,950,1/7/2021 2:32,United Kingdom,London,BuyOurStuff.com,113,Y,
114,672,Valli Ibarra,9,Cell Phone,Mobile Device,Crypto,3,950,1/7/2021 2:32,Colombia,Bogotá,BuyOurStuff.com,114,Y,
115,636,Susan Abbott,3,Keyboard,Accessories,Crypto,3,100,1/8/2021 2:34,Peru,Lima,BuyOurStuff.com,115,Y,
116,154,Constance Rangel,2,Mouse,Accessories,Debit,3,75,1/8/2021 2:34,Brazil,Rio de Janeiro,BuyOurStuff.com,116,Y,
117,221,Elie Cannon,4,Desktop,Computer,Pay-Pal,3,750,1/8/2021 2:35,France,Paris,BuyOurStuff.com,117,Y,
118,463,Margalo Moore,6,Chair,Home & Office,Credit,2,80,1/8/2021 2:35,China,Beijing,BuyOurStuff.com,118,Y,
119,381,Katuscha Salas,4,Desktop,Computer,Pay-Pal,1,750,1/8/2021 2:38,Mexico,Mexico City,BuyOurStuff.com,119,Y,
120,13,Aili Vaughn,1,Headphones,Accessories,Pay-Pal,2,150,1/8/2021 2:38,Germany,Berlin,BuyOurStuff.com,120,Y,
121,35,Andeee Mueller,3,Keyboard,Accessories,Credit,2,100,1/8/2021 2:38,Colombia,Bogotá,BuyOurStuff.com,121,Y,
122,658,Tina Bradford,6,Chair,Home & Office,Debit,2,80,1/8/2021 2:40,Japan,Tokyo,BuyOurStuff.com,122,Y,
123,451,Madeleine Thornton,2,Mouse,Accessories,Credit,1,75,1/8/2021 2:41,India,Delhi,BuyOurStuff.com,123,Y,
124,383,Keelia Miles,9,Cell Phone,Mobile Device,Credit,1,950,1/8/2021 2:42,United Kingdom,London,BuyOurStuff.com,124,N,Insufficient funds
125,316,Inga Snyder,9,Cell Phone,Mobile Device,Crypto,1,950,1/8/2021 2:44,Argentina,Buenos Aires,BuyOurStuff.com,125,Y,
126,587,Rori Lam,3,Keyboard,Accessories,Credit,1,100,1/8/2021 2:46,Colombia,Bogotá,BuyOurStuff.com,126,N,Insufficient funds
127,163,Courtnay Ross,7,Desk,Home & Office,Credit,3,150,1/8/2021 2:46,Brazil,Rio de Janeiro,BuyOurStuff.com,127,Y,
128,611,Shandie Gutierrez,4,Desktop,Computer,Credit,2,750,1/8/2021 2:48,United Kingdom,London,BuyOurStuff.com,128,Y,
129,528,Netty Rivera,2,Mouse,Accessories,Crypto,1,75,1/8/2021 2:49,Japan,Tokyo,BuyOurStuff.com,129,N,Incorrect Payment Information
130,259,Florie Nicholson,3,Keyboard,Accessories,Credit,2,100,1/9/2021 2:50,Germany,Berlin,BuyOurStuff.com,130,Y,
131,613,Sharai Mitchell,1,Headphones,Accessories,Pay-Pal,3,150,1/9/2021 2:50,China,Beijing,BuyOurStuff.com,131,N,Incorrect Payment Information
132,7,Adore Bryan,7,Desk,Home & Office,Credit,3,150,1/9/2021 2:52,France,Paris,BuyOurStuff.com,132,Y,
133,685,Wanda Rogers,6,Chair,Home & Office,Pay-Pal,1,80,1/9/2021 2:53,France,Paris,BuyOurStuff.com,133,Y,
134,197,Dolli Hoover,5,Laptop,Computer,Pay-Pal,1,1000,1/9/2021 2:54,Germany,Berlin,BuyOurStuff.com,134,Y,
135,104,Cam Guzman,6,Chair,Home & Office,Crypto,3,80,1/9/2021 2:54,Argentina,Buenos Aires,BuyOurStuff.com,135,Y,
136,140,Christian Willis,6,Chair,Home & Office,Crypto,3,80,1/9/2021 2:55,Spain,Madrid,BuyOurStuff.com,136,Y,
137,490,Melina Frank,7,Desk,Home & Office,Debit,2,150,1/9/2021 2:57,Thailand,Bangkok,BuyOurStuff.com,137,Y,
138,387,Kerrin Butler,4,Desktop,Computer,Credit,2,750,1/9/2021 2:58,France,Paris,BuyOurStuff.com,138,Y,
139,332,Jasmina Henry,6,Chair,Home & Office,Crypto,3,80,1/9/2021 2:59,Japan,Tokyo,BuyOurStuff.com,139,Y,
140,208,Drucie Zimmerman,1,Headphones,Accessories,Crypto,1,150,1/9/2021 3:00,Mexico,Mexico City,BuyOurStuff.com,140,Y,
141,434,Lonnie Shields,9,Cell Phone,Mobile Device,Debit,3,950,1/9/2021 3:00,Spain,Madrid,BuyOurStuff.com,141,Y,
142,674,Veda Cook,6,Chair,Home & Office,Debit,1,80,1/10/2021 3:01,Brazil,Rio de Janeiro,BuyOurStuff.com,142,Y,
143,585,Romona Navarro,4,Desktop,Computer,Pay-Pal,3,750,1/10/2021 3:01,China,Beijing,BuyOurStuff.com,143,Y,
144,216,Edyth Austin,1,Headphones,Accessories,Crypto,1,150,1/10/2021 3:02,China,Beijing,BuyOurStuff.com,144,Y,
145,606,Sashenka Cooper,4,Desktop,Computer,Debit,3,750,1/10/2021 3:04,South Korea,Seoul,BuyOurStuff.com,145,Y,
146,195,Dione York,9,Cell Phone,Mobile Device,Credit,2,950,1/10/2021 3:06,Germany,Berlin,BuyOurStuff.com,146,Y,
147,453,Mady Stewart,9,Cell Phone,Mobile Device,Pay-Pal,3,950,1/10/2021 3:10,France,Paris,BuyOurStuff.com,147,Y,
148,293,Gusty Simpson,6,Chair,Home & Office,Pay-Pal,2,80,1/10/2021 3:11,Mexico,Mexico City,BuyOurStuff.com,148,Y,
149,670,Valeda Lucas,2,Mouse,Accessories,Debit,1,75,1/10/2021 3:11,Colombia,Bogotá,BuyOurStuff.com,149,Y,
150,128,Celisse Waters,4,Desktop,Computer,Crypto,1,750,1/10/2021 3:11,Germany,Berlin,BuyOurStuff.com,150,Y,
151,648,Teddie Mcguire,3,Keyboard,Accessories,Crypto,1,100,1/10/2021 3:12,France,Paris,BuyOurStuff.com,151,Y,
152,105,Camile Cross,7,Desk,Home & Office,Pay-Pal,2,150,1/10/2021 3:13,Brazil,Rio de Janeiro,BuyOurStuff.com,152,Y,
153,47,Anthia Daniels,3,Keyboard,Accessories,Credit,1,100,1/10/2021 3:13,China,Beijing,BuyOurStuff.com,153,Y,
154,112,Carly Swanson,9,Cell Phone,Mobile Device,Crypto,2,950,1/10/2021 3:15,China,Beijing,BuyOurStuff.com,154,N,Incorrect Payment Information
155,417,Leontine Dillon,3,Keyboard,Accessories,Pay-Pal,2,100,1/10/2021 3:16,Brazil,Rio de Janeiro,BuyOurStuff.com,155,Y,
156,672,Valli Ibarra,7,Desk,Home & Office,Crypto,3,150,1/10/2021 3:17,Colombia,Bogotá,BuyOurStuff.com,156,N,Insufficient funds
157,133,Chastity Sullivan,3,Keyboard,Accessories,Pay-Pal,1,100,1/10/2021 3:18,United Kingdom,London,BuyOurStuff.com,157,Y,
158,488,Meghann Shaffer,8,Tablet,Mobile Device,Crypto,1,450,1/11/2021 3:20,Brazil,Rio de Janeiro,BuyOurStuff.com,158,N,Incorrect Payment Information
159,98,Briney Ryan,1,Headphones,Accessories,Debit,1,150,1/11/2021 3:20,Argentina,Buenos Aires,BuyOurStuff.com,159,Y,
160,610,Shaine Barker,5,Laptop,Computer,Debit,1,1000,1/11/2021 3:21,Mexico,Mexico City,BuyOurStuff.com,160,Y,
161,544,Orelia Lindsey,2,Mouse,Accessories,Crypto,1,75,1/11/2021 3:22,Germany,Berlin,BuyOurStuff.com,161,Y,
162,313,Ileana Ruiz,7,Desk,Home & Office,Pay-Pal,2,150,1/11/2021 3:23,Brazil,Rio de Janeiro,BuyOurStuff.com,162,Y,
163,255,Fidelia Nichols,3,Keyboard,Accessories,Credit,1,100,1/11/2021 3:24,Mexico,Mexico City,BuyOurStuff.com,163,Y,
164,66,Ayn Ramsey,6,Chair,Home & Office,Debit,2,80,1/11/2021 3:25,United Kingdom,London,BuyOurStuff.com,164,Y,
165,163,Courtnay Ross,7,Desk,Home & Office,Credit,3,150,1/11/2021 3:26,Brazil,Rio de Janeiro,BuyOurStuff.com,165,Y,
166,481,Marylou Reid,1,Headphones,Accessories,Pay-Pal,1,150,1/11/2021 3:26,United Kingdom,London,BuyOurStuff.com,166,Y,
167,48,Antonietta Elliott,2,Mouse,Accessories,Crypto,2,75,1/11/2021 3:27,Argentina,Buenos Aires,BuyOurStuff.com,167,Y,
168,310,Hope Wyatt,7,Desk,Home & Office,Debit,1,150,1/11/2021 3:28,France,Paris,BuyOurStuff.com,168,Y,
169,499,Michaelina Flores,3,Keyboard,Accessories,Credit,1,100,1/11/2021 3:28,South Korea,Seoul,BuyOurStuff.com,169,Y,
170,472,Marita Cline,3,Keyboard,Accessories,Crypto,1,100,1/12/2021 3:28,Germany,Berlin,BuyOurStuff.com,170,N,Insufficient funds
171,485,Max Wheeler,3,Keyboard,Accessories,Pay-Pal,1,100,1/12/2021 3:28,Colombia,Bogotá,BuyOurStuff.com,171,Y,
172,175,Darci Shaw,7,Desk,Home & Office,Credit,2,150,1/12/2021 3:30,Thailand,Bangkok,BuyOurStuff.com,172,Y,
173,259,Florie Nicholson,7,Desk,Home & Office,Credit,2,150,1/12/2021 3:32,Germany,Berlin,BuyOurStuff.com,173,Y,
174,338,Jennica Hardy,9,Cell Phone,Mobile Device,Debit,3,950,1/12/2021 3:38,Germany,Berlin,BuyOurStuff.com,174,Y,
175,4,Addia Briggs,7,Desk,Home & Office,Crypto,1,150,1/12/2021 3:39,Thailand,Bangkok,BuyOurStuff.com,175,Y,
176,73,Belinda Saunders,4,Desktop,Computer,Pay-Pal,3,750,1/12/2021 3:42,France,Paris,BuyOurStuff.com,176,Y,
177,247,Fanchon Norton,3,Keyboard,Accessories,Credit,1,100,1/12/2021 3:42,Colombia,Bogotá,BuyOurStuff.com,177,Y,
178,174,Daphne Lamb,5,Laptop,Computer,Debit,1,1000,1/12/2021 3:43,Japan,Tokyo,BuyOurStuff.com,178,Y,
179,270,Gaylene Schultz,9,Cell Phone,Mobile Device,Debit,2,950,1/12/2021 3:44,Spain,Madrid,BuyOurStuff.com,179,Y,
180,571,Rebeca Evans,5,Laptop,Computer,Credit,1,1000,1/12/2021 3:44,South Korea,Seoul,BuyOurStuff.com,180,Y,
181,348,Joeann Wade,2,Mouse,Accessories,Crypto,1,75,1/12/2021 3:44,United Kingdom,London,BuyOurStuff.com,181,Y,
182,469,Mariele Conner,8,Tablet,Mobile Device,Pay-Pal,3,450,1/12/2021 3:46,China,Beijing,BuyOurStuff.com,182,Y,
183,311,Hyacinthe Hill,9,Cell Phone,Mobile Device,Credit,3,950,1/12/2021 3:49,United Kingdom,London,BuyOurStuff.com,183,Y,
184,670,Valeda Lucas,1,Headphones,Accessories,Debit,1,150,1/12/2021 3:49,Colombia,Bogotá,BuyOurStuff.com,184,Y,
185,654,Therine Cortez,6,Chair,Home & Office,Debit,3,80,1/12/2021 3:50,Colombia,Bogotá,BuyOurStuff.com,185,Y,
186,684,Vonny Cruz,1,Headphones,Accessories,Crypto,3,150,1/12/2021 3:51,United Kingdom,London,BuyOurStuff.com,186,Y,
187,379,Kathy Dennis,3,Keyboard,Accessories,Credit,1,100,1/12/2021 3:52,Peru,Lima,BuyOurStuff.com,187,Y,
188,450,Madalyn Barber,6,Chair,Home & Office,Debit,1,80,1/12/2021 3:52,United Kingdom,London,BuyOurStuff.com,188,Y,
189,300,Harrietta Mckenzie,5,Laptop,Computer,Crypto,3,1000,1/13/2021 3:55,Brazil,Rio de Janeiro,BuyOurStuff.com,189,Y,
